36|1|(第26周) 06月28日-07月04日|￥ 3800|￥ 3800|2014-03-13 10:31:06.951408|2014-03-13 10:31:06.951408|内地票房|2010年|22|m1905
37|2|(第26周) 06月28日-07月04日|￥ 2200|￥ 7750|2014-03-13 10:31:07.096658|2014-03-13 10:31:07.096658|内地票房|2010年|12|m1905
38|3|(第26周) 06月28日-07月04日|￥ 1800|￥ 4000|2014-03-13 10:31:07.228821|2014-03-13 10:31:07.228821|内地票房|2010年|19|m1905
39|4|(第26周) 06月28日-07月04日|￥ 1780|￥ 4280|2014-03-13 10:31:07.348779|2014-03-13 10:31:07.348779|内地票房|2010年|18|m1905
40|5|(第26周) 06月28日-07月04日|￥ 850|￥ 4600|2014-03-13 10:31:07.509044|2014-03-13 10:31:07.509044|内地票房|2010年|13|m1905
41|6|(第26周) 06月28日-07月04日|￥ 760|￥ 1200|2014-03-13 10:31:07.642157|2014-03-13 10:31:07.642157|内地票房|2010年|21|m1905
42|7|(第26周) 06月28日-07月04日|￥ 620|￥ 1270|2014-03-13 10:31:07.772855|2014-03-13 10:31:07.772855|内地票房|2010年|20|m1905
43|8|(第26周) 06月28日-07月04日|￥ 580|￥ 580|2014-03-13 10:31:08.908323|2014-03-13 10:31:08.908323|内地票房|2010年|23|m1905
44|9|(第26周) 06月28日-07月04日|￥ 560|￥ 560|2014-03-13 10:31:09.064933|2014-03-13 10:31:09.064933|内地票房|2010年|24|m1905
45|10|(第26周) 06月28日-07月04日|￥ 300|￥ 1340|2014-03-13 10:31:09.202712|2014-03-13 10:31:09.202712|内地票房|2010年|14|m1905
46|1|(第27周) 07月05日-07月11日|￥ 4650|￥ 8450|2014-03-13 10:31:09.359691|2014-03-13 10:31:09.359691|内地票房|2010年|22|m1905
47|2|(第27周) 07月05日-07月11日|￥ 3600|￥ 3600|2014-03-13 10:31:09.834237|2014-03-13 10:31:09.834237|内地票房|2010年|25|m1905
48|3|(第27周) 07月05日-07月11日|￥ 1500|￥ 1500|2014-03-13 10:31:09.996008|2014-03-13 10:31:09.996008|内地票房|2010年|26|m1905
49|4|(第27周) 07月05日-07月11日|￥ 1350|￥ 9100|2014-03-13 10:31:10.126631|2014-03-13 10:31:10.126631|内地票房|2010年|12|m1905
50|5|(第27周) 07月05日-07月11日|￥ 1200|￥ 1780|2014-03-13 10:31:10.266554|2014-03-13 10:31:10.266554|内地票房|2010年|23|m1905
51|6|(第27周) 07月05日-07月11日|￥ 680|￥ 1240|2014-03-13 10:31:10.403504|2014-03-13 10:31:10.403504|内地票房|2010年|24|m1905
52|7|(第27周) 07月05日-07月11日|￥ 580|￥ 580|2014-03-13 10:31:10.719230|2014-03-13 10:31:10.719230|内地票房|2010年|27|m1905
53|8|(第27周) 07月05日-07月11日|￥ 530|￥ 4530|2014-03-13 10:31:10.852394|2014-03-13 10:31:10.852394|内地票房|2010年|19|m1905
54|10|(第27周) 07月05日-07月11日|￥ 420|￥ 4700|2014-03-13 10:31:12.757243|2014-03-13 10:31:12.757243|内地票房|2010年|18|m1905
55|1|(第28周) 07月12日-07月18日|￥ 2960|￥ 6560|2014-03-13 10:31:13.011394|2014-03-13 10:31:13.011394|内地票房|2010年|25|m1905
56|2|(第28周) 07月12日-07月18日|￥ 2700|￥ 11150|2014-03-13 10:31:13.145053|2014-03-13 10:31:13.145053|内地票房|2010年|22|m1905
57|3|(第28周) 07月12日-07月18日|￥ 2400|￥ 3900|2014-03-13 10:31:13.277300|2014-03-13 10:31:13.277300|内地票房|2010年|26|m1905
58|4|(第28周) 07月12日-07月18日|￥ 920|￥ 10020|2014-03-13 10:31:13.429752|2014-03-13 10:31:13.429752|内地票房|2010年|12|m1905
59|5|(第28周) 07月12日-07月18日|￥ 680|￥ 2460|2014-03-13 10:31:13.565263|2014-03-13 10:31:13.565263|内地票房|2010年|23|m1905
60|6|(第28周) 07月12日-07月18日|￥ 660|￥ 1240|2014-03-13 10:31:13.704867|2014-03-13 10:31:13.704867|内地票房|2010年|27|m1905
61|7|(第28周) 07月12日-07月18日|￥ 400|￥ 400|2014-03-13 10:31:14.147369|2014-03-13 10:31:14.147369|内地票房|2010年|28|m1905
62|8|(第28周) 07月12日-07月18日|￥ 380|￥ 1620|2014-03-13 10:31:14.276944|2014-03-13 10:31:14.276944|内地票房|2010年|24|m1905
63|10|(第28周) 07月12日-07月18日|￥ 210|￥ 4740|2014-03-13 10:31:14.746442|2014-03-13 10:31:14.746442|内地票房|2010年|19|m1905
64|1|(第29周) 07月19日-07月25日|￥ 18000|￥ 18000|2014-03-13 10:31:15.372127|2014-03-13 10:31:15.372127|内地票房|2010年|29|m1905
65|2|(第29周) 07月19日-07月25日|￥ 1600|￥ 8160|2014-03-13 10:31:15.506116|2014-03-13 10:31:15.506116|内地票房|2010年|25|m1905
66|3|(第29周) 07月19日-07月25日|￥ 1200|￥ 12350|2014-03-13 10:31:15.650104|2014-03-13 10:31:15.650104|内地票房|2010年|22|m1905
67|4|(第29周) 07月19日-07月25日|￥ 1200|￥ 5100|2014-03-13 10:31:16.050844|2014-03-13 10:31:16.050844|内地票房|2010年|26|m1905
68|5|(第29周) 07月19日-07月25日|￥ 620|￥ 10640|2014-03-13 10:31:16.210374|2014-03-13 10:31:16.210374|内地票房|2010年|12|m1905
69|6|(第29周) 07月19日-07月25日|￥ 450|￥ 450|2014-03-13 10:31:16.655560|2014-03-13 10:31:16.655560|内地票房|2010年|30|m1905
70|7|(第29周) 07月19日-07月25日|￥ 380|￥ 1620|2014-03-13 10:31:16.782693|2014-03-13 10:31:16.782693|内地票房|2010年|27|m1905
71|8|(第29周) 07月19日-07月25日|￥ 340|￥ 740|2014-03-13 10:31:16.857838|2014-03-13 10:31:16.857838|内地票房|2010年|28|m1905
72|9|(第29周) 07月19日-07月25日|￥ 310|￥ 2770|2014-03-13 10:31:17.036910|2014-03-13 10:31:17.036910|内地票房|2010年|23|m1905
73|10|(第29周) 07月19日-07月25日|￥ 80|￥ 80|2014-03-13 10:31:17.686608|2014-03-13 10:31:17.686608|内地票房|2010年|31|m1905
74|1|(第30周) 07月26日-08月01日|￥ 23400|￥ 41400|2014-03-13 10:31:17.869230|2014-03-13 10:31:17.869230|内地票房|2010年|29|m1905
75|2|(第30周) 07月26日-08月01日|￥ 980|￥ 1430|2014-03-13 10:31:17.975277|2014-03-13 10:31:17.975277|内地票房|2010年|30|m1905
76|3|(第30周) 07月26日-08月01日|￥ 700|￥ 8860|2014-03-13 10:31:18.132415|2014-03-13 10:31:18.132415|内地票房|2010年|25|m1905
77|5|(第30周) 07月26日-08月01日|￥ 500|￥ 500|2014-03-13 10:31:19.224819|2014-03-13 10:31:19.224819|内地票房|2010年|32|m1905
78|6|(第30周) 07月26日-08月01日|￥ 480|￥ 480|2014-03-13 10:31:19.454015|2014-03-13 10:31:19.454015|内地票房|2010年|33|m1905
79|7|(第30周) 07月26日-08月01日|￥ 320|￥ 400|2014-03-13 10:31:19.693361|2014-03-13 10:31:19.693361|内地票房|2010年|31|m1905
80|8|(第30周) 07月26日-08月01日|￥ 300|￥ 10940|2014-03-13 10:31:20.110340|2014-03-13 10:31:20.110340|内地票房|2010年|12|m1905
81|9|(第30周) 07月26日-08月01日|￥ 300|￥ 5400|2014-03-13 10:31:20.253087|2014-03-13 10:31:20.253087|内地票房|2010年|26|m1905
82|1|(第31周) 08月02日-08月08日|￥ 12000|￥ 53400|2014-03-13 10:31:20.553666|2014-03-13 10:31:20.553666|内地票房|2010年|29|m1905
