38|第86届奥斯卡金像奖|2014|最佳摄影|提名|醉乡民谣|oscar|2014-03-13 11:46:58.814045|2014-03-13 11:46:58.814045
39|第86届奥斯卡金像奖|2014|最佳摄影|提名|一代宗师|oscar|2014-03-13 11:46:58.816552|2014-03-13 11:46:58.816552
40|第86届奥斯卡金像奖|2014|最佳摄影|提名|内布拉斯加|oscar|2014-03-13 11:46:58.819571|2014-03-13 11:46:58.819571
41|第86届奥斯卡金像奖|2014|最佳动画长片|获奖|冰雪奇缘|oscar|2014-03-13 11:46:58.822521|2014-03-13 11:46:58.822521
42|第86届奥斯卡金像奖|2014|最佳动画长片|提名|起风了|oscar|2014-03-13 11:46:58.825140|2014-03-13 11:46:58.825140
43|第86届奥斯卡金像奖|2014|最佳动画长片|提名|神偷奶爸2|oscar|2014-03-13 11:46:58.828808|2014-03-13 11:46:58.828808
44|第86届奥斯卡金像奖|2014|最佳动画长片|提名|艾特熊和赛娜鼠|oscar|2014-03-13 11:46:58.832597|2014-03-13 11:46:58.832597
45|第86届奥斯卡金像奖|2014|最佳动画长片|提名|疯狂原始人|oscar|2014-03-13 11:46:58.836036|2014-03-13 11:46:58.836036
46|第86届奥斯卡金像奖|2014|最佳服装设计|获奖|了不起的盖茨比|oscar|2014-03-13 11:46:58.838871|2014-03-13 11:46:58.838871
47|第86届奥斯卡金像奖|2014|最佳服装设计|提名|一代宗师|oscar|2014-03-13 11:46:58.841379|2014-03-13 11:46:58.841379
48|第86届奥斯卡金像奖|2014|最佳服装设计|提名|为奴十二年|oscar|2014-03-13 11:46:58.844318|2014-03-13 11:46:58.844318
49|第86届奥斯卡金像奖|2014|最佳服装设计|提名|美国骗局|oscar|2014-03-13 11:46:58.846810|2014-03-13 11:46:58.846810
50|第86届奥斯卡金像奖|2014|最佳服装设计|提名|看不见的女人|oscar|2014-03-13 11:46:58.849884|2014-03-13 11:46:58.849884
51|第86届奥斯卡金像奖|2014|最佳电影剪辑|获奖|地心引力|oscar|2014-03-13 11:46:58.852913|2014-03-13 11:46:58.852913
